	animal_activity	temp_without_drink_cycles	label
5470	4.68	40.34	1
5472	9.87	40.31	1
5474	10.31	40.22	1
5476	9.4	40.14	1
5478	6.4	40.06	1
5480	4.07	39.97	1
5482	5.9	39.89	1
5484	7.27	39.81	1
5486	5.86	39.82	1
5488	6.35	39.97	1
5490	4.79	40.06	1
5492	4.43	40.1	1
5494	5.88	40.12	1
5496	3.47	40.22	1
5498	2.92	40.25	1
5500	5.09	40.31	1
5502	4.74	40.34	1
5504	5.62	40.4	1
5506	4.059	40.46	1
5508	4.5	40.52	1
5510	8.44	40.52	1
5512	10.94	40.46	1
5514	6.27	40.38	1
5516	4.07	40.29	1
5518	4.0	40.21	1
5520	2.46	40.13	1
5522	5.84	40.04	1
5524	7.35	39.96	1
5526	11.04	39.88	1
5528	8.209	39.79	1
5530	2.6489999999999996	39.71	1
5532	2.479	39.63	1
5534	4.369	39.58	1
5536	4.3389999999999995	39.67	1
5538	6.099	39.82	1
5540	5.059	39.97	1
5542	5.539	40.12	1
5544	3.719	40.19	1
5546	13.479000000000001	40.25	1
5548	8.93	40.31	1
5550	8.379	40.37	1
5552	10.079	40.4	1
5554	9.249	40.4	1
5556	8.189	40.34	1
5558	6.5089999999999995	40.28	1
5560	3.2889999999999997	40.25	1
5562	4.739	40.25	1
5564	6.218999999999999	40.28	1
5566	7.369	40.37	1
5568	5.669	40.43	1
5570	8.639	40.52	1
5572	3.57	40.55	1
5574	3.449	40.55	1
5576	3.0989999999999998	40.55	1
5578	3.9389999999999996	40.52	1
5580	2.7689999999999997	40.52	1
5582	3.4389999999999996	40.49	1
5584	2.6289999999999996	40.46	1
5586	5.479	40.43	1
5588	3.199	40.4	1
5590	5.93	40.32	1
5592	8.2	40.25	1
5594	12.5	40.16	1
5596	10.16	40.08	1
5598	9.13	40.0	1
5600	9.29	39.91	1
5602	6.66	39.83	1
5604	5.07	39.75	1
5606	7.21	39.66	1
5608	5.11	39.58	1
5610	8.92	39.73	1
5612	7.99	39.82	1
5614	4.36	39.91	2
5616	3.59	39.94	2
5618	5.38	39.94	2
5620	7.2	40.0	2
5622	7.47	40.06	2
5624	4.38	40.12	2
5626	12.99	40.16	2
5628	4.57	40.19	2
5630	3.42	40.22	2
5632	3.33	40.22	2
5634	3.48	40.22	2
5636	8.71	40.22	2
5638	3.6	40.22	2
5640	4.79	40.19	2
5642	3.09	40.19	2
5644	3.02	40.12	2
5646	6.48	40.06	2
5648	5.08	40.03	2
5650	8.06	40.0	2
5652	6.11	40.0	2
5654	7.37	39.92	2
5656	6.31	39.91	2
5658	6.07	39.94	2
5660	5.91	40.0	2
5662	5.29	40.0	2
5664	4.84	39.97	2
5666	8.6	39.97	2
5668	4.979	39.94	2
5670	6.25	39.94	2
5672	3.35	39.94	2
5674	3.1	39.91	2
5676	2.15	39.88	2
5678	2.15	39.88	2
5680	2.73	39.85	2
5682	2.57	39.82	2
5684	3.34	39.82	2
5686	3.52	39.79	2
5688	4.12	39.76	2
5690	3.44	39.73	2
5692	8.01	39.7	2
5694	5.35	39.62	2
5696	3.38	39.53	2
5698	3.969	39.46	2
5700	2.4090000000000003	39.46	2
5702	2.249	39.46	2
5704	1.689	39.46	2
5706	2.9589999999999996	39.49	2
5708	5.239	39.49	2
5710	2.9389999999999996	39.41	2
5712	2.1790000000000003	39.32	2
5714	1.739	39.24	2
5716	2.199	39.16	2
5718	2.909	39.07	2
5720	3.2089999999999996	38.99	2
5722	3.8089999999999997	38.91	2
5724	2.489	38.82	2
5726	2.509	38.86	2
5728	2.249	38.95	2
5730	3.359	39.01	2
5732	4.129	39.07	2
5734	1.439	39.13	2
5736	1.469	39.16	2
5738	1.709	39.19	2
5740	2.379	39.22	2
5742	6.329	39.25	2
5744	6.979	39.34	2
5746	5.84	39.37	2
5748	10.7	39.4	2
5750	8.988999999999999	39.43	2
5752	3.8989999999999996	39.46	2
5754	0.72	39.46	2
5756	1.0	39.49	2
5758	2.55	39.52	3
5760	2.59	39.58	3
5762	2.33	39.58	3
5764	0.66	39.58	3
5766	0.94	39.52	3
5768	0.69	39.52	3
5770	0.63	39.52	3
5772	0.13	39.46	3
5774	1.1	39.43	3
5776	1.4	39.43	3
5778	0.75	39.43	3
5780	1.24	39.46	3
5782	2.51	39.49	3
5784	1.72	39.49	3
5786	2.45	39.49	3
5788	0.73	39.46	3
5790	0.24	39.43	3
5792	1.01	39.43	3
5794	2.19	39.43	3
5796	1.81	39.35	3
5798	3.18	39.26	3
5800	3.53	39.18	3
5802	3.82	39.1	3
5804	2.39	39.01	3
5806	3.31	38.93	3
5808	2.44	38.85	3
5810	2.47	38.77	3
5812	2.59	38.86	3
5814	1.85	38.92	3
5816	1.21	38.98	3
5818	1.8	39.04	3
5820	1.66	39.07	3
5822	1.92	39.13	3
5824	1.7990000000000002	39.16	3
5826	2.02	39.22	3
5828	2.39	39.25	3
97225	4.24	40.01	1
97227	5.51	39.93	1
97229	4.85	39.84	1
97231	3.679	39.76	1
97233	6.27	39.68	1
97235	7.439	39.59	1
97237	6.55	39.51	1
97239	5.649	39.43	1
97241	5.159	39.34	1
97243	2.739	39.4	1
97245	3.989	39.49	1
97247	3.8089999999999997	39.58	1
97249	3.109	39.7	1
97251	5.92	39.82	1
97253	4.81	39.88	1
97255	3.5589999999999997	39.91	1
97257	5.619	39.91	1
97259	3.9589999999999996	39.91	1
97261	4.41	39.94	1
97263	5.78	39.94	1
97265	4.77	39.94	1
97267	3.46	39.94	1
97269	2.94	39.91	1
97271	4.4	39.91	1
97273	5.19	39.94	1
97275	5.56	39.94	1
97277	6.49	39.91	1
97279	2.81	39.91	1
97281	2.54	39.88	1
97283	3.43	39.88	1
97285	4.63	39.88	1
97287	4.41	39.94	1
97289	3.68	39.94	1
97291	3.36	39.94	1
97293	3.28	39.91	1
97295	1.87	39.85	1
97297	3.27	39.82	1
97299	3.24	39.79	1
97301	3.08	39.79	1
97303	1.87	39.82	1
97305	4.27	39.82	1
97307	3.87	39.79	1
97309	4.11	39.73	1
97311	6.73	39.67	1
97313	2.75	39.61	1
97315	2.96	39.55	1
97317	3.56	39.49	1
97319	3.53	39.43	1
97321	6.28	39.4	1
97323	5.13	39.4	1
97325	9.19	39.34	1
97327	5.22	39.31	1
97329	2.48	39.28	1
97331	2.36	39.25	1
97333	2.99	39.19	1
97335	2.47	39.16	1
97337	5.29	39.16	1
97339	4.22	39.19	1
97341	3.67	39.19	1
97343	2.91	39.22	1
97345	4.67	39.25	1
97347	3.739	39.25	1
97349	4.779	39.28	1
97351	5.609	39.31	1
97353	7.83	39.34	1
97355	9.9	39.4	1
97357	6.13	39.4	1
97359	4.21	39.4	1
97361	6.31	39.4	1
97363	4.56	39.32	1
97365	4.34	39.23	1
97367	2.55	39.15	1
97369	3.699	39.07	2
97371	3.2489999999999997	38.98	2
97373	3.719	38.9	2
97375	6.15	38.82	2
113058	6.2989999999999995	40.22	1
113060	4.138999999999999	40.22	1
113062	3.1889999999999996	40.16	1
113064	4.0889999999999995	40.16	1
113066	3.739	40.19	1
113068	4.149	40.19	1
113070	7.859	40.19	1
113072	7.178999999999999	40.1	1
113074	6.05	40.02	1
113076	6.189	39.94	1
113078	5.699	39.85	1
113080	5.01	39.77	1
113082	6.76	39.82	1
113084	6.0	39.91	1
113086	3.71	39.94	1
113088	4.939	39.94	1
113090	4.1	39.97	1
113092	5.16	40.03	1
113094	5.44	40.03	1
113096	9.26	40.03	1
113098	4.51	40.06	1
113100	5.0	40.06	1
113102	4.41	39.98	1
113104	5.17	39.97	1
113106	8.21	39.97	1
113108	6.45	40.06	1
113110	5.38	40.12	1
113112	3.59	40.16	1
113114	3.85	40.16	1
113116	4.17	40.16	1
113118	4.94	40.12	1
113120	4.51	40.1	1
113122	4.16	40.01	1
113124	9.03	40.0	1
113126	4.88	40.03	1
113128	6.46	40.06	1
113130	6.51	40.06	1
113132	7.2	40.03	1
113134	4.98	40.03	1
113136	6.2	40.06	1
113138	5.56	40.16	1
113140	3.81	40.19	1
113142	8.9	40.19	1
113144	7.7	40.16	1
113146	6.01	40.1	1
113148	4.979	40.01	1
113150	5.25	39.93	1
113152	7.21	39.84	1
113154	5.96	39.76	1
113156	3.6	39.82	1
113158	3.67	39.82	1
113160	4.96	39.82	1
113162	6.05	39.82	1
113164	7.0	39.88	1
113166	10.47	39.91	1
113168	8.61	39.94	1
113170	4.21	39.91	1
113172	3.31	39.88	1
113174	4.15	39.82	1
113176	4.2	39.82	1
113178	4.95	39.82	1
113180	5.95	39.82	1
113182	6.91	39.74	1
113184	5.1	39.66	1
113186	6.73	39.57	1
113188	5.2	39.49	1
113190	4.52	39.41	1
113192	5.17	39.32	1
113194	4.29	39.24	1
113196	5.18	39.16	1
113198	6.58	39.07	1
113200	4.86	38.99	1
113202	5.13	39.04	2
113204	6.72	39.13	2
113206	6.62	39.22	2
113208	6.07	39.28	2
113210	9.25	39.28	2
113212	4.38	39.31	2
113214	4.58	39.37	2
113216	4.77	39.43	2
113218	5.11	39.46	2
113220	3.81	39.49	2
113222	4.3	39.49	2
113224	4.83	39.55	2
113226	5.55	39.58	2
113228	6.52	39.64	2
113230	6.27	39.67	2
113232	3.57	39.67	2
113234	4.01	39.64	2
113236	3.92	39.64	2
113238	5.23	39.7	2
113240	5.8	39.73	2
113242	4.01	39.73	2
113244	4.07	39.7	2
113246	5.02	39.64	2
113248	6.84	39.61	2
113250	6.87	39.53	2
113252	8.18	39.44	2
113254	6.92	39.36	2
113256	8.24	39.28	2
113258	5.33	39.19	2
113260	5.98	39.11	2
113262	5.77	39.03	2
113264	4.51	39.1	2
113266	4.87	39.25	2
113268	8.44	39.4	2
113270	8.14	39.52	2
113272	9.3	39.61	2
113274	7.38	39.67	2
113276	9.02	39.73	2
113278	6.01	39.76	2
113280	5.9	39.76	2
113282	4.92	39.73	2
113284	3.91	39.7	2
113286	4.88	39.67	2
113288	6.65	39.59	2
113290	7.04	39.5	2
113292	3.78	39.42	2
113294	4.4	39.49	2
113296	9.33	39.61	2
113298	6.89	39.67	2
113300	6.01	39.7	2
113302	5.32	39.7	2
113304	5.69	39.67	2
113306	4.93	39.67	2
113308	7.56	39.7	2
113310	8.27	39.79	2
113312	7.0	39.79	2
113314	7.81	39.71	2
113316	5.42	39.62	2
113318	4.34	39.54	2
113320	5.109	39.46	2
113322	6.689	39.37	2
113324	3.1189999999999998	39.31	2
113326	4.58	39.43	2
113328	4.78	39.52	2
113330	3.97	39.58	2
113332	4.88	39.67	2
113334	4.33	39.7	2
113336	4.78	39.7	2
113338	3.31	39.7	2
113340	5.55	39.7	2
113342	8.94	39.79	2
113344	7.58	39.79	2
113346	5.77	39.71	3
113348	6.25	39.62	3
113350	5.81	39.58	3
113352	5.31	39.5	3
113354	8.13	39.41	3
113356	4.9	39.33	3
113358	4.5	39.25	3
113360	7.46	39.16	3
113362	6.32	39.34	3
113364	4.64	39.37	3
113366	5.06	39.37	3
113368	5.62	39.4	3
113370	5.04	39.49	3
113372	4.25	39.49	3
113374	4.25	39.49	3
113376	4.65	39.49	3
113378	3.53	39.46	3
113380	4.27	39.46	3
113382	4.04	39.49	3
113384	5.71	39.52	3
113386	6.68	39.61	3
113388	5.77	39.64	3
113390	4.26	39.64	3
113392	7.26	39.64	3
113394	5.56	39.64	3
113396	6.16	39.61	3
113398	4.51	39.58	3
113400	3.8	39.58	3
113402	10.17	39.58	3
113404	11.03	39.58	3
113406	8.78	39.52	3
113408	7.919	39.52	3
113410	3.5589999999999997	39.52	3
113412	4.269	39.52	3
113414	3.719	39.52	3
113416	3.779	39.52	3
211507	2.989	39.76	1
211509	5.029	39.88	1
211511	12.62	39.88	1
211513	5.499	39.85	1
211515	4.178999999999999	39.77	1
211517	4.428999999999999	39.7	1
211519	7.229	39.67	1
211521	8.689	39.67	1
211523	9.738999999999999	39.67	1
211525	7.659	39.64	1
211527	5.779	39.64	1
211529	2.279	39.64	1
211531	2.8489999999999998	39.61	1
211533	2.8789999999999996	39.61	1
211535	3.6489999999999996	39.64	1
211537	4.369	39.73	1
211539	4.038	39.79	1
211541	4.178999999999999	39.79	1
211543	4.669	39.79	1
211545	5.409	39.79	1
211547	4.819	39.79	1
211549	3.4589999999999996	39.85	1
211551	1.909	39.85	1
211553	4.428999999999999	39.82	1
211555	6.87	39.79	1
211557	7.39	39.71	1
211559	7.48	39.62	1
211561	8.83	39.54	1
211563	6.58	39.46	1
211565	7.73	39.37	1
211567	7.54	39.31	1
211569	6.74	39.34	1
211571	6.8	39.4	1
211573	4.79	39.43	1
211575	3.8	39.46	1
211577	4.21	39.52	1
211579	4.44	39.55	1
211581	5.08	39.64	1
211583	5.09	39.67	1
211585	6.62	39.67	1
211587	6.2	39.7	1
211589	5.42	39.82	1
211591	4.92	39.91	1
211593	4.059	39.97	1
211595	3.6689999999999996	40.03	1
211597	3.9589999999999996	40.03	1
211599	5.529	40.03	1
211601	4.81	40.03	1
211603	4.92	40.0	1
211605	3.74	39.94	1
211607	3.19	39.88	1
211609	2.67	39.85	1
211611	5.06	39.85	1
211613	3.75	39.85	1
211615	2.82	39.82	1
211617	3.24	39.79	1
211619	2.58	39.79	1
211621	2.32	39.76	1
211623	3.33	39.73	1
211625	4.74	39.67	1
211627	2.51	39.64	1
211629	5.94	39.64	1
211631	5.31	39.64	1
211633	4.63	39.7	1
211635	3.44	39.7	1
211637	3.61	39.7	1
211639	1.99	39.67	1
211641	2.93	39.64	1
211643	3.07	39.58	1
211645	3.79	39.55	1
211647	3.41	39.52	1
211649	2.52	39.46	1
211651	3.92	39.4	2
211653	4.11	39.37	2
211655	5.9	39.37	2
211657	5.04	39.37	2
211659	4.5	39.29	2
211661	3.56	39.2	2
211663	3.12	39.12	2
